pair_id,region,midline_strategy,movement_region,movement,error,i410_1,i410_2
1,pm5,UD,AnteriorBulb,1,93.1779302517617,4128.74574354889,4204.6093979204
1,pm5,RS,AnteriorBulb,1,46.5341069600063,4128.74574354889,4204.6093979204
1,pm5,RD,AnteriorBulb,1,84.423065593948,4128.74574354889,4204.6093979204
1,pm5,US,SidesOfTip,1,57.5551709165375,4128.74574354889,4204.6093979204
1,pm5,UD,SidesOfTip,1,93.1779302517617,4128.74574354889,4204.6093979204
1,pm5,RS,SidesOfTip,1,46.5341069600063,4128.74574354889,4204.6093979204
1,pm5,RD,SidesOfTip,1,84.423065593948,4128.74574354889,4204.6093979204
1,pm5,US,Tip,1,57.5551709165375,4128.74574354889,4204.6093979204
1,pm5,UD,Tip,1,93.1779302517617,4128.74574354889,4204.6093979204
1,pm5,RS,Tip,1,46.5341069600063,4128.74574354889,4204.6093979204
1,pm5,RD,Tip,1,84.423065593948,4128.74574354889,4204.6093979204
1,pm6,US,PosteriorBulb,1,89.4103616100323,7329.81386469572,7299.49093141381
1,pm6,UD,PosteriorBulb,1,86.391688224126,7329.81386469572,7299.49093141381
1,pm6,RS,PosteriorBulb,1,63.6401175918792,7329.81386469572,7299.49093141381
1,pm6,RD,PosteriorBulb,1,84.5220729455585,7329.81386469572,7299.49093141381
1,pm6,US,AnteriorBulb,1,89.4103616100323,7329.81386469572,7299.49093141381
1,pm6,UD,AnteriorBulb,1,86.391688224126,7329.81386469572,7299.49093141381
1,pm6,RS,AnteriorBulb,1,63.6401175918792,7329.81386469572,7299.49093141381
1,pm6,RD,AnteriorBulb,1,84.5220729455585,7329.81386469572,7299.49093141381
1,pm6,US,SidesOfTip,1,89.4103616100323,7329.81386469572,7299.49093141381
1,pm6,UD,SidesOfTip,1,86.391688224126,7329.81386469572,7299.49093141381
1,pm6,RS,SidesOfTip,1,63.6401175918792,7329.81386469572,7299.49093141381
1,pm6,RD,SidesOfTip,1,84.5220729455585,7329.81386469572,7299.49093141381
1,pm6,US,Tip,1,89.4103616100323,7329.81386469572,7299.49093141381
1,pm6,UD,Tip,1,86.391688224126,7329.81386469572,7299.49093141381
1,pm6,RS,Tip,1,63.6401175918792,7329.81386469572,7299.49093141381
1,pm6,RD,Tip,1,84.5220729455585,7329.81386469572,7299.49093141381
1,pm7,US,PosteriorBulb,1,100.116518961211,10732.419787049,10721.4075946396
1,pm7,UD,PosteriorBulb,1,52.2819969439281,10732.419787049,10721.4075946396
1,pm7,RS,PosteriorBulb,1,57.6257886415907,10732.419787049,10721.4075946396
1,pm7,RD,PosteriorBulb,1,37.1974592503606,10732.419787049,10721.4075946396
1,pm7,US,AnteriorBulb,1,100.116518961211,10732.419787049,10721.4075946396
1,pm7,UD,AnteriorBulb,1,52.2819969439281,10732.419787049,10721.4075946396
1,pm7,RS,AnteriorBulb,1,57.6257886415907,10732.419787049,10721.4075946396
1,pm7,RD,AnteriorBulb,1,37.1974592503606,10732.419787049,10721.4075946396
1,pm7,US,SidesOfTip,1,100.116518961211,10732.419787049,10721.4075946396
1,pm7,UD,SidesOfTip,1,52.2819969439281,10732.419787049,10721.4075946396
1,pm7,RS,SidesOfTip,1,57.6257886415907,10732.419787049,10721.4075946396
1,pm7,RD,SidesOfTip,1,37.1974592503606,10732.419787049,10721.4075946396
1,pm7,US,Tip,1,100.116518961211,10732.419787049,10721.4075946396
1,pm7,UD,Tip,1,52.2819969439281,10732.419787049,10721.4075946396
1,pm7,RS,Tip,1,57.6257886415907,10732.419787049,10721.4075946396
1,pm7,RD,Tip,1,37.1974592503606,10732.419787049,10721.4075946396
1,medial_axis,US,PosteriorBulb,1,78.2643031069648,6460.88208884459,6478.18793126749
1,medial_axis,UD,PosteriorBulb,1,83.8408795714834,6460.88208884459,6478.18793126749
1,medial_axis,RS,PosteriorBulb,1,47.6219873237208,6460.88208884459,6478.18793126749
1,medial_axis,RD,PosteriorBulb,1,62.3093683587409,6460.88208884459,6478.18793126749
1,medial_axis,US,AnteriorBulb,1,78.2643031069648,6460.88208884459,6478.18793126749
1,medial_axis,UD,AnteriorBulb,1,83.8408795714834,6460.88208884459,6478.18793126749
1,medial_axis,RS,AnteriorBulb,1,47.6219873237208,6460.88208884459,6478.18793126749
1,medial_axis,RD,AnteriorBulb,1,62.3093683587409,6460.88208884459,6478.18793126749
1,medial_axis,US,SidesOfTip,1,78.2643031069648,6460.88208884459,6478.18793126749
1,medial_axis,UD,SidesOfTip,1,83.8408795714834,6460.88208884459,6478.18793126749
1,medial_axis,RS,SidesOfTip,1,47.6219873237208,6460.88208884459,6478.18793126749
1,medial_axis,RD,SidesOfTip,1,62.3093683587409,6460.88208884459,6478.18793126749
1,medial_axis,US,Tip,1,78.2643031069648,6460.88208884459,6478.18793126749
1,medial_axis,UD,Tip,1,83.8408795714834,6460.88208884459,6478.18793126749
1,medial_axis,RS,Tip,1,47.6219873237208,6460.88208884459,6478.18793126749
1,medial_axis,RD,Tip,1,62.3093683587409,6460.88208884459,6478.18793126749
1,pharynx,US,PosteriorBulb,1,79.0868577942889,6215.64247468367,6233.01716264326
1,pharynx,UD,PosteriorBulb,1,82.5426669115094,6215.64247468367,6233.01716264326
1,pharynx,RS,PosteriorBulb,1,48.6363056888652,6215.64247468367,6233.01716264326
1,pharynx,RD,PosteriorBulb,1,60.9561777680893,6215.64247468367,6233.01716264326
1,pharynx,US,AnteriorBulb,1,79.0868577942889,6215.64247468367,6233.01716264326
1,pharynx,UD,AnteriorBulb,1,82.5426669115094,6215.64247468367,6233.01716264326
1,pharynx,RS,AnteriorBulb,1,48.6363056888652,6215.64247468367,6233.01716264326
1,pharynx,RD,AnteriorBulb,1,60.9561777680893,6215.64247468367,6233.01716264326
1,pharynx,US,SidesOfTip,1,79.0868577942889,6215.64247468367,6233.01716264326
1,pharynx,UD,SidesOfTip,1,82.5426669115094,6215.64247468367,6233.01716264326
1,pharynx,RS,SidesOfTip,1,48.6363056888652,6215.64247468367,6233.01716264326
1,pharynx,RD,SidesOfTip,1,60.9561777680893,6215.64247468367,6233.01716264326
1,pharynx,US,Tip,1,79.0868577942889,6215.64247468367,6233.01716264326
